Station,Temperature,Date
SYDNEY,28.5,2020-01-15
SYDNEY,29.2,2020-01-20
SYDNEY,31.8,2020-02-10
SYDNEY,26.4,2020-03-05
SYDNEY,23.1,2020-04-12
SYDNEY,19.8,2020-05-18
SYDNEY,16.2,2020-06-08
SYDNEY,14.5,2020-07-15
SYDNEY,17.3,2020-08-22
SYDNEY,20.9,2020-09-10
SYDNEY,24.7,2020-10-05
SYDNEY,27.1,2020-11-12
SYDNEY,30.4,2020-12-03
MELBOURNE,25.8,2020-01-08
MELBOURNE,27.3,2020-02-14
MELBOURNE,22.1,2020-03-18
MELBOURNE,18.4,2020-04-25
MELBOURNE,15.7,2020-05-30
MELBOURNE,12.1,2020-06-12
MELBOURNE,11.6,2020-07-20
MELBOURNE,13.9,2020-08-15
MELBOURNE,17.2,2020-09-22
MELBOURNE,20.8,2020-10-18
MELBOURNE,23.6,2020-11-25
MELBOURNE,26.9,2020-12-10
BRISBANE,32.1,2020-01-12
BRISBANE,33.7,2020-02-08
BRISBANE,30.5,2020-03-15
BRISBANE,27.8,2020-04-20
BRISBANE,24.3,2020-05-25
BRISBANE,21.6,2020-06-10
BRISBANE,19.8,2020-07-18
BRISBANE,22.4,2020-08-12
BRISBANE,25.9,2020-09-28
BRISBANE,28.7,2020-10-15
BRISBANE,31.2,2020-11-20
BRISBANE,33.5,2020-12-05
