Station,Temperature,Date
SYDNEY,29.8,2021-01-10
SYDNEY,30.5,2021-02-15
SYDNEY,27.9,2021-03-08
SYDNEY,24.6,2021-04-18
SYDNEY,21.3,2021-05-22
SYDNEY,17.8,2021-06-14
SYDNEY,15.2,2021-07-25
SYDNEY,18.1,2021-08-19
SYDNEY,21.7,2021-09-15
SYDNEY,25.4,2021-10-12
SYDNEY,28.2,2021-11-08
SYDNEY,31.6,2021-12-20
MELBOURNE,26.9,2021-01-05
MELBOURNE,28.4,2021-02-20
MELBOURNE,23.7,2021-03-25
MELBOURNE,19.8,2021-04-30
MELBOURNE,16.5,2021-05-15
MELBOURNE,13.2,2021-06-28
MELBOURNE,12.7,2021-07-12
MELBOURNE,15.1,2021-08-25
MELBOURNE,18.6,2021-09-18
MELBOURNE,22.3,2021-10-22
MELBOURNE,25.1,2021-11-15
MELBOURNE,27.8,2021-12-08
PERTH,34.2,2021-01-18
PERTH,35.8,2021-02-12
PERTH,31.5,2021-03-20
PERTH,28.1,2021-04-15
PERTH,24.7,2021-05-28
PERTH,20.9,2021-06-30
PERTH,18.3,2021-07-22
PERTH,21.8,2021-08-10
PERTH,26.4,2021-09-25
PERTH,29.9,2021-10-18
PERTH,32.6,2021-11-12
PERTH,36.1,2021-12-05
